1	 1:39	 2:5	 3:77516	 4:0	 5:13	 6:2	 7:8	 8:3	 9:0	 10:1	 11:2174	 12:0	 13:40	 14:0
1	 1:19	 2:0	 3:168294	 4:3	 5:9	 6:2	 7:1	 8:1	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
0	 1:54	 2:999999	 3:180211	 4:1	 5:10	 6:0	 7:999999	 8:2	 9:1	 10:1	 11:0	 12:0	 13:60	 14:9
1	 1:39	 2:0	 3:367260	 4:3	 5:9	 6:1	 7:4	 8:3	 9:0	 10:1	 11:0	 12:0	 13:80	 14:0
1	 1:49	 2:0	 3:193366	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:23	 2:4	 3:190709	 4:5	 5:12	 6:2	 7:12	 8:3	 9:0	 10:1	 11:0	 12:0	 13:52	 14:0
1	 1:20	 2:0	 3:266015	 4:1	 5:10	 6:2	 7:3	 8:1	 9:4	 10:1	 11:0	 12:0	 13:44	 14:0
1	 1:45	 2:0	 3:386940	 4:0	 5:13	 6:1	 7:4	 8:1	 9:0	 10:1	 11:0	 12:1408	 13:40	 14:0
1	 1:30	 2:3	 3:59951	 4:1	 5:10	 6:0	 7:8	 8:1	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:22	 2:5	 3:311512	 4:1	 5:10	 6:0	 7:2	 8:2	 9:4	 10:1	 11:0	 12:0	 13:15	 14:0
1	 1:48	 2:0	 3:242406	 4:2	 5:7	 6:2	 7:7	 8:5	 9:0	 10:1	 11:0	 12:0	 13:40	 14:3
1	 1:21	 2:0	 3:197200	 4:1	 5:10	 6:2	 7:7	 8:1	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:19	 2:0	 3:544091	 4:3	 5:9	 6:6	 7:8	 8:0	 9:0	 10:0	 11:0	 12:0	 13:25	 14:0
0	 1:31	 2:0	 3:84154	 4:1	 5:10	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:38	 14:999999
1	 1:48	 2:1	 3:265477	 4:5	 5:12	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:31	 2:0	 3:507875	 4:7	 5:5	 6:0	 7:7	 8:2	 9:0	 10:1	 11:0	 12:0	 13:43	 14:0
1	 1:53	 2:1	 3:88506	 4:0	 5:13	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:24	 2:0	 3:172987	 4:0	 5:13	 6:0	 7:0	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:49	 2:0	 3:94638	 4:3	 5:9	 6:3	 7:8	 8:5	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:25	 2:0	 3:289980	 4:3	 5:9	 6:2	 7:6	 8:3	 9:0	 10:1	 11:0	 12:0	 13:35	 14:0
0	 1:57	 2:3	 3:337895	 4:0	 5:13	 6:0	 7:5	 8:2	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:53	 2:0	 3:144361	 4:3	 5:9	 6:0	 7:7	 8:2	 9:0	 10:1	 11:0	 12:0	 13:38	 14:0
1	 1:44	 2:0	 3:128354	 4:10	 5:14	 6:1	 7:4	 8:5	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:41	 2:5	 3:101603	 4:6	 5:11	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:29	 2:0	 3:271466	 4:6	 5:11	 6:2	 7:5	 8:3	 9:0	 10:1	 11:0	 12:0	 13:43	 14:0
1	 1:25	 2:0	 3:32275	 4:1	 5:10	 6:0	 7:4	 8:0	 9:3	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:18	 2:0	 3:226956	 4:3	 5:9	 6:2	 7:2	 8:1	 9:0	 10:0	 11:0	 12:0	 13:30	 14:999999
0	 1:47	 2:0	 3:51835	 4:4	 5:15	 6:0	 7:5	 8:0	 9:0	 10:0	 11:0	 12:1902	 13:60	 14:13
0	 1:50	 2:3	 3:251585	 4:0	 5:13	 6:1	 7:4	 8:3	 9:0	 10:1	 11:0	 12:0	 13:55	 14:0
1	 1:47	 2:2	 3:109832	 4:3	 5:9	 6:1	 7:4	 8:3	 9:0	 10:1	 11:0	 12:0	 13:60	 14:0
0	 1:43	 2:0	 3:237993	 4:1	 5:10	 6:0	 7:0	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:46	 2:0	 3:216666	 4:14	 5:3	 6:0	 7:7	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:19
1	 1:35	 2:0	 3:56352	 4:6	 5:11	 6:0	 7:2	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:3
1	 1:41	 2:0	 3:147372	 4:3	 5:9	 6:0	 7:8	 8:2	 9:0	 10:1	 11:0	 12:0	 13:48	 14:0
1	 1:30	 2:0	 3:188146	 4:3	 5:9	 6:0	 7:7	 8:2	 9:0	 10:1	 11:5013	 12:0	 13:40	 14:0
1	 1:30	 2:0	 3:59496	 4:0	 5:13	 6:0	 7:3	 8:2	 9:0	 10:1	 11:2407	 12:0	 13:40	 14:0
1	 1:32	 2:999999	 3:293936	 4:8	 5:4	 6:5	 7:999999	 8:3	 9:0	 10:1	 11:0	 12:0	 13:40	 14:999999
1	 1:48	 2:0	 3:149640	 4:3	 5:9	 6:0	 7:10	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
0	 1:42	 2:0	 3:116632	 4:13	 5:16	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:45	 14:0
1	 1:29	 2:0	 3:105598	 4:1	 5:10	 6:1	 7:0	 8:3	 9:0	 10:1	 11:0	 12:0	 13:58	 14:0
1	 1:36	 2:0	 3:155537	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:28	 2:0	 3:183175	 4:1	 5:10	 6:1	 7:8	 8:3	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
0	 1:53	 2:0	 3:169846	 4:3	 5:9	 6:0	 7:8	 8:0	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
0	 1:49	 2:2	 3:191681	 4:1	 5:10	 6:0	 7:4	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:25	 2:999999	 3:200681	 4:1	 5:10	 6:2	 7:999999	 8:1	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:19	 2:0	 3:101509	 4:1	 5:10	 6:2	 7:5	 8:1	 9:0	 10:1	 11:0	 12:0	 13:32	 14:0
1	 1:31	 2:0	 3:309974	 4:0	 5:13	 6:3	 7:3	 8:1	 9:4	 10:0	 11:0	 12:0	 13:40	 14:0
0	 1:29	 2:1	 3:162298	 4:0	 5:13	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:70	 14:0
1	 1:23	 2:0	 3:211678	 4:1	 5:10	 6:2	 7:7	 8:3	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:79	 2:0	 3:124744	 4:1	 5:10	 6:0	 7:5	 8:4	 9:0	 10:1	 11:0	 12:0	 13:20	 14:0
1	 1:27	 2:0	 3:213921	 4:3	 5:9	 6:2	 7:2	 8:1	 9:0	 10:1	 11:0	 12:0	 13:40	 14:19
1	 1:40	 2:0	 3:32214	 4:5	 5:12	 6:0	 7:8	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:67	 2:999999	 3:212759	 4:12	 5:6	 6:0	 7:999999	 8:2	 9:0	 10:1	 11:0	 12:0	 13:2	 14:0
1	 1:18	 2:0	 3:309634	 4:2	 5:7	 6:2	 7:2	 8:1	 9:0	 10:0	 11:0	 12:0	 13:22	 14:0
1	 1:31	 2:4	 3:125927	 4:8	 5:4	 6:0	 7:9	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:18	 2:0	 3:446839	 4:3	 5:9	 6:2	 7:3	 8:3	 9:0	 10:1	 11:0	 12:0	 13:30	 14:0
1	 1:52	 2:0	 3:276515	 4:0	 5:13	 6:0	 7:2	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:11
1	 1:46	 2:0	 3:51618	 4:3	 5:9	 6:0	 7:2	 8:0	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:59	 2:0	 3:159937	 4:3	 5:9	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:48	 14:0
0	 1:44	 2:0	 3:343591	 4:3	 5:9	 6:1	 7:1	 8:3	 9:0	 10:0	 11:14344	 12:0	 13:40	 14:0
1	 1:53	 2:0	 3:346253	 4:3	 5:9	 6:1	 7:3	 8:1	 9:0	 10:0	 11:0	 12:0	 13:35	 14:0
0	 1:49	 2:4	 3:268234	 4:3	 5:9	 6:0	 7:12	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:33	 2:0	 3:202051	 4:10	 5:14	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:30	 2:0	 3:54334	 4:7	 5:5	 6:2	 7:3	 8:3	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
0	 1:43	 2:3	 3:410867	 4:13	 5:16	 6:2	 7:5	 8:3	 9:0	 10:0	 11:0	 12:0	 13:50	 14:0
1	 1:57	 2:0	 3:249977	 4:6	 5:11	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:37	 2:0	 3:286730	 4:1	 5:10	 6:1	 7:1	 8:5	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:28	 2:0	 3:212563	 4:1	 5:10	 6:1	 7:7	 8:5	 9:4	 10:0	 11:0	 12:0	 13:25	 14:0
1	 1:30	 2:0	 3:117747	 4:3	 5:9	 6:0	 7:3	 8:0	 9:1	 10:0	 11:0	 12:1573	 13:35	 14:999999
0	 1:34	 2:4	 3:226296	 4:0	 5:13	 6:0	 7:12	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:29	 2:4	 3:115585	 4:1	 5:10	 6:2	 7:6	 8:3	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
0	 1:48	 2:1	 3:191277	 4:13	 5:16	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:1902	 13:60	 14:0
0	 1:37	 2:0	 3:202683	 4:1	 5:10	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:48	 14:0
1	 1:48	 2:0	 3:171095	 4:5	 5:12	 6:1	 7:4	 8:5	 9:0	 10:0	 11:0	 12:0	 13:40	 14:2
1	 1:32	 2:3	 3:249409	 4:3	 5:9	 6:2	 7:2	 8:1	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
0	 1:76	 2:0	 3:124191	 4:10	 5:14	 6:0	 7:4	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
0	 1:44	 2:0	 3:198282	 4:0	 5:13	 6:0	 7:4	 8:2	 9:0	 10:1	 11:15024	 12:0	 13:60	 14:0
1	 1:47	 2:1	 3:149116	 4:10	 5:14	 6:2	 7:5	 8:3	 9:0	 10:0	 11:0	 12:0	 13:50	 14:0
1	 1:20	 2:0	 3:188300	 4:1	 5:10	 6:2	 7:0	 8:1	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:29	 2:0	 3:103432	 4:3	 5:9	 6:2	 7:1	 8:3	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
0	 1:32	 2:2	 3:317660	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:7688	 12:0	 13:40	 14:0
1	 1:17	 2:999999	 3:304873	 4:12	 5:6	 6:2	 7:999999	 8:1	 9:0	 10:0	 11:34095	 12:0	 13:32	 14:0
1	 1:30	 2:0	 3:194901	 4:2	 5:7	 6:2	 7:6	 8:1	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:31	 2:4	 3:189265	 4:3	 5:9	 6:2	 7:8	 8:3	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:42	 2:0	 3:124692	 4:3	 5:9	 6:0	 7:6	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:24	 2:0	 3:432376	 4:0	 5:13	 6:2	 7:3	 8:4	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
0	 1:38	 2:0	 3:65324	 4:4	 5:15	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
0	 1:56	 2:1	 3:335605	 4:3	 5:9	 6:0	 7:2	 8:2	 9:0	 10:1	 11:0	 12:1887	 13:50	 14:4
1	 1:28	 2:0	 3:377869	 4:1	 5:10	 6:0	 7:3	 8:0	 9:0	 10:0	 11:4064	 12:0	 13:25	 14:0
1	 1:36	 2:0	 3:102864	 4:3	 5:9	 6:2	 7:7	 8:1	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:53	 2:0	 3:95647	 4:7	 5:5	 6:0	 7:6	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:56	 2:2	 3:303090	 4:1	 5:10	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
0	 1:49	 2:4	 3:197371	 4:6	 5:11	 6:0	 7:1	 8:2	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:55	 2:0	 3:247552	 4:1	 5:10	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:56	 14:0
1	 1:22	 2:0	 3:102632	 4:3	 5:9	 6:2	 7:1	 8:3	 9:0	 10:1	 11:0	 12:0	 13:41	 14:0
1	 1:21	 2:0	 3:199915	 4:1	 5:10	 6:2	 7:2	 8:1	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:40	 2:0	 3:118853	 4:0	 5:13	 6:0	 7:4	 8:2	 9:0	 10:1	 11:0	 12:0	 13:60	 14:0
1	 1:30	 2:0	 3:77143	 4:0	 5:13	 6:2	 7:4	 8:1	 9:4	 10:1	 11:0	 12:0	 13:40	 14:5
0	 1:29	 2:5	 3:267989	 4:0	 5:13	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:19	 2:0	 3:301606	 4:1	 5:10	 6:2	 7:2	 8:1	 9:4	 10:1	 11:0	 12:0	 13:35	 14:0
0	 1:47	 2:0	 3:287828	 4:0	 5:13	 6:0	 7:4	 8:0	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:20	 2:0	 3:111697	 4:1	 5:10	 6:2	 7:8	 8:1	 9:0	 10:0	 11:0	 12:1719	 13:28	 14:0
0	 1:31	 2:0	 3:114937	 4:5	 5:12	 6:0	 7:8	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:35	 2:999999	 3:129305	 4:3	 5:9	 6:0	 7:999999	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:39	 2:0	 3:365739	 4:1	 5:10	 6:1	 7:1	 8:3	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:28	 2:0	 3:69621	 4:5	 5:12	 6:2	 7:3	 8:3	 9:0	 10:0	 11:0	 12:0	 13:60	 14:0
1	 1:24	 2:0	 3:43323	 4:3	 5:9	 6:2	 7:2	 8:3	 9:0	 10:0	 11:0	 12:1762	 13:40	 14:0
1	 1:38	 2:1	 3:120985	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:4386	 12:0	 13:35	 14:0
1	 1:37	 2:0	 3:254202	 4:0	 5:13	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:46	 2:0	 3:146195	 4:5	 5:12	 6:1	 7:0	 8:3	 9:4	 10:0	 11:0	 12:0	 13:36	 14:0
0	 1:38	 2:3	 3:125933	 4:10	 5:14	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:12
1	 1:43	 2:1	 3:56920	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:60	 14:0
1	 1:27	 2:0	 3:163127	 4:6	 5:11	 6:0	 7:8	 8:0	 9:0	 10:0	 11:0	 12:0	 13:35	 14:0
1	 1:20	 2:0	 3:34310	 4:1	 5:10	 6:2	 7:3	 8:1	 9:0	 10:1	 11:0	 12:0	 13:20	 14:0
0	 1:49	 2:0	 3:81973	 4:1	 5:10	 6:0	 7:1	 8:2	 9:1	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:61	 2:2	 3:66614	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:27	 2:0	 3:232782	 4:1	 5:10	 6:2	 7:3	 8:1	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:19	 2:0	 3:316868	 4:1	 5:10	 6:2	 7:2	 8:1	 9:0	 10:1	 11:0	 12:0	 13:30	 14:19
0	 1:45	 2:0	 3:196584	 4:6	 5:11	 6:2	 7:5	 8:3	 9:0	 10:0	 11:0	 12:1564	 13:40	 14:0
1	 1:70	 2:0	 3:105376	 4:1	 5:10	 6:2	 7:0	 8:4	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:31	 2:0	 3:185814	 4:3	 5:9	 6:2	 7:10	 8:5	 9:4	 10:0	 11:0	 12:0	 13:30	 14:0
1	 1:22	 2:0	 3:175374	 4:1	 5:10	 6:0	 7:2	 8:2	 9:0	 10:1	 11:0	 12:0	 13:24	 14:0
1	 1:36	 2:0	 3:108293	 4:3	 5:9	 6:4	 7:2	 8:5	 9:0	 10:0	 11:0	 12:0	 13:24	 14:0
1	 1:64	 2:0	 3:181232	 4:2	 5:7	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:2179	 13:40	 14:0
1	 1:43	 2:999999	 3:174662	 4:1	 5:10	 6:1	 7:999999	 8:3	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:47	 2:4	 3:186009	 4:1	 5:10	 6:1	 7:8	 8:5	 9:0	 10:0	 11:0	 12:0	 13:38	 14:19
1	 1:34	 2:0	 3:198183	 4:3	 5:9	 6:2	 7:8	 8:3	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:33	 2:0	 3:163003	 4:0	 5:13	 6:2	 7:4	 8:4	 9:1	 10:0	 11:0	 12:0	 13:40	 14:14
1	 1:21	 2:0	 3:296158	 4:3	 5:9	 6:2	 7:1	 8:1	 9:0	 10:1	 11:0	 12:0	 13:35	 14:0
0	 1:52	 2:999999	 3:252903	 4:3	 5:9	 6:1	 7:999999	 8:3	 9:0	 10:1	 11:0	 12:0	 13:45	 14:0
1	 1:48	 2:0	 3:187715	 4:3	 5:9	 6:0	 7:1	 8:2	 9:0	 10:1	 11:0	 12:0	 13:46	 14:0
1	 1:23	 2:0	 3:214542	 4:0	 5:13	 6:2	 7:6	 8:3	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:71	 2:1	 3:494223	 4:1	 5:10	 6:3	 7:3	 8:5	 9:4	 10:1	 11:0	 12:1816	 13:2	 14:0
1	 1:29	 2:0	 3:191535	 4:3	 5:9	 6:1	 7:1	 8:3	 9:0	 10:1	 11:0	 12:0	 13:60	 14:0
1	 1:42	 2:0	 3:228456	 4:0	 5:13	 6:3	 7:2	 8:4	 9:4	 10:1	 11:0	 12:0	 13:50	 14:0
1	 1:68	 2:999999	 3:38317	 4:11	 5:2	 6:1	 7:999999	 8:3	 9:0	 10:0	 11:0	 12:0	 13:20	 14:0
1	 1:25	 2:0	 3:252752	 4:3	 5:9	 6:2	 7:2	 8:5	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:44	 2:2	 3:78374	 4:10	 5:14	 6:1	 7:4	 8:5	 9:1	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:28	 2:0	 3:88419	 4:3	 5:9	 6:2	 7:4	 8:3	 9:1	 10:0	 11:0	 12:0	 13:40	 14:2
0	 1:45	 2:1	 3:201080	 4:10	 5:14	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:36	 2:0	 3:207157	 4:1	 5:10	 6:1	 7:2	 8:5	 9:0	 10:0	 11:0	 12:0	 13:40	 14:19
1	 1:39	 2:3	 3:235485	 4:5	 5:12	 6:2	 7:4	 8:3	 9:0	 10:1	 11:0	 12:0	 13:42	 14:0
1	 1:46	 2:5	 3:102628	 4:10	 5:14	 6:4	 7:12	 8:5	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:18	 2:0	 3:25828	 4:2	 5:7	 6:2	 7:6	 8:1	 9:0	 10:1	 11:0	 12:0	 13:16	 14:0
1	 1:66	 2:4	 3:54826	 4:6	 5:11	 6:4	 7:5	 8:3	 9:0	 10:0	 11:0	 12:0	 13:20	 14:0
1	 1:27	 2:0	 3:124953	 4:3	 5:9	 6:2	 7:2	 8:3	 9:0	 10:1	 11:0	 12:1980	 13:40	 14:0
1	 1:28	 2:5	 3:175325	 4:3	 5:9	 6:0	 7:12	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
0	 1:51	 2:0	 3:96062	 4:1	 5:10	 6:0	 7:3	 8:2	 9:0	 10:1	 11:0	 12:1977	 13:40	 14:0
1	 1:27	 2:0	 3:428030	 4:0	 5:13	 6:2	 7:1	 8:3	 9:0	 10:1	 11:0	 12:0	 13:50	 14:0
0	 1:28	 2:5	 3:149624	 4:0	 5:13	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:27	 2:0	 3:253814	 4:3	 5:9	 6:5	 7:3	 8:5	 9:0	 10:0	 11:0	 12:0	 13:25	 14:0
1	 1:21	 2:0	 3:312956	 4:3	 5:9	 6:2	 7:1	 8:1	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:34	 2:0	 3:483777	 4:3	 5:9	 6:2	 7:6	 8:3	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:18	 2:0	 3:183930	 4:3	 5:9	 6:2	 7:2	 8:1	 9:0	 10:1	 11:0	 12:0	 13:12	 14:0
1	 1:33	 2:0	 3:37274	 4:0	 5:13	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:65	 14:0
0	 1:44	 2:4	 3:181344	 4:1	 5:10	 6:0	 7:4	 8:2	 9:4	 10:1	 11:0	 12:0	 13:38	 14:0
1	 1:43	 2:0	 3:114580	 4:1	 5:10	 6:1	 7:8	 8:3	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:30	 2:0	 3:633742	 4:1	 5:10	 6:2	 7:1	 8:3	 9:4	 10:1	 11:0	 12:0	 13:45	 14:0
0	 1:40	 2:0	 3:286370	 4:8	 5:4	 6:0	 7:7	 8:2	 9:0	 10:1	 11:0	 12:0	 13:40	 14:19
0	 1:37	 2:3	 3:29054	 4:1	 5:10	 6:0	 7:8	 8:2	 9:0	 10:1	 11:0	 12:0	 13:42	 14:0
1	 1:34	 2:0	 3:304030	 4:3	 5:9	 6:0	 7:8	 8:2	 9:4	 10:1	 11:0	 12:0	 13:40	 14:0
1	 1:41	 2:1	 3:143129	 4:0	 5:13	 6:1	 7:4	 8:3	 9:0	 10:0	 11:0	 12:0	 13:40	 14:0
1	 1:53	 2:999999	 3:135105	 4:0	 5:13	 6:1	 7:999999	 8:3	 9:0	 10:0	 11:0	 12:0	 13:50	 14:0
1	 1:31	 2:0	 3:99928	 4:10	 5:14	 6:0	 7:5	 8:0	 9:0	 10:0	 11:0	 12:0	 13:50	 14:0
0	 1:58	 2:5	 3:109567	 4:13	 5:16	 6:0	 7:5	 8:2	 9:0	 10:1	 11:0	 12:0	 13:1	 14:0
